Sampling.Unit.Name,Date,Wind,Precipitation,PercentCloudCover,DominantCoverType,TidalConditions,VegetationHeight,DisturbGeneral-Collected,VisibleArea-VisibleArea,PercentCover-PercentFlood,CoverType-SecondaryCoverType,PercentCover-PercentVegetated
COQ36,2023-07-13,1,0,0,17,1,,1,100,10,,
HT1,2022-07-22,1,1,80,14,2,0,1,100,60,,0
HT1,2023-02-11,1,0,60,14,1,0,0,1,95,,
HT1,2023-07-11,0,0,70,14,2,1,0,100,35,,15
HT2,2022-07-22,1,1,80,14,2,0,0,100,50,,0
HT2,2023-02-11,1,1,60,14,1,0,0,100,85,,
HT2,2023-07-11,0,0,70,14,2,1,0,100,30,17,20
HT3,2022-07-22,0,1,80,14,2,0,1,100,40,,0
HT3,2023-02-11,1,1,60,14,1,0,0,100,90,,
HT3,2023-07-11,0,0,70,14,2,1,0,90,30,17,20
HT4,2022-07-22,0,1,80,15,2,0,0,100,40,14,0
HT4,2023-02-11,1,1,60,14,1,1,0,100,85,,5
HT4,2023-07-11,0,0,70,14,2,1,0,90,35,17,15
HT5,2022-07-21,1,1,80,14,2,1,0,100,40,15,20
HT5,2023-02-11,2,1,70,14,1,1,0,90,90,,5
HT5,2023-07-11,0,0,80,14,2,1,0,80,40,15,25
HUENTE1,2020-02-15,2,0,0,13,2,1,0,100,48,16,2
HUENTE1,2020-02-15,2,0,0,13,2,1,0,100,48,16,2
HUENTE1,2020-08-31,0,0,100,13,1,1,0,100,50,16,2
HUENTE1,2021-02-15,1,0,90,13,1,1,0,100,50,16,48
HUENTE1,2021-08-28,4,0,10,13,1,1,1,100,50,16,2
HUENTE1,2022-02-03,2,0,10,13,1,1,0,100,50,16,2
HUENTE1,2022-07-26,2,0,0,13,7,1,1,100,5,16,2
HUENTE1,2023-02-13,3,0,0,16,2,1,0,100,10,19,10
HUENTE1,2023-07-09,3,0,70,16,1,0,0,100,5,19,0
HUENTE2,2020-02-15,2,0,0,16,1,0,0,100,50,13,0
HUENTE2,2020-08-31,0,0,100,16,1,0,0,100,50,13,0
HUENTE2,2021-02-15,1,0,90,16,1,,0,100,50,13,0
HUENTE2,2021-08-28,4,0,10,16,1,0,1,100,50,13,0
HUENTE2,2022-02-03,2,0,10,16,1,0,0,100,50,13,0
HUENTE2,2022-07-26,2,0,0,16,7,0,1,100,5,13,0
HUENTE2,2023-02-13,3,0,0,16,2,0,0,100,85,19,0
HUENTE2,2023-08-07,3,0,70,16,1,0,1,100,5,19,0
HUENTE3,2020-02-15,2,0,0,16,1,1,0,100,20,19,10
HUENTE3,2020-08-31,0,0,100,16,1,1,0,100,20,19,10
HUENTE3,2021-02-15,1,0,90,16,1,1,0,100,20,19,10
HUENTE3,2021-08-28,4,0,20,16,2,1,1,100,20,19,10
HUENTE3,2022-02-03,2,0,30,16,1,1,1,100,20,19,10
HUENTE3,2022-07-26,2,0,0,16,7,1,1,100,10,19,10
HUENTE3,2023-02-13,3,0,0,16,2,0,0,100,5,19,0
HUENTE3,2023-07-26,3,0,70,16,1,0,0,100,10,19,0
HUENTE4,2020-02-15,2,0,0,16,1,0,0,100,20,19,0
HUENTE4,2020-08-31,0,0,90,16,1,,0,100,20,19,0
HUENTE4,2021-02-15,1,0,90,16,1,,0,100,20,19,0
HUENTE4,2021-08-28,3,0,20,16,2,0,1,100,20,19,0
HUENTE4,2022-02-03,2,0,50,16,2,0,0,100,20,19,0
HUENTE4,2022-07-26,2,0,0,16,7,0,1,100,10,19,0
HUENTE4,2023-02-13,3,0,0,16,2,0,0,100,10,19,0
HUENTE4,2023-07-09,3,0,70,16,2,0,0,100,10,19,0
HUENTE5,2020-02-15,2,0,0,16,1,0,0,100,5,19,0
HUENTE5,2020-08-31,0,0,90,16,1,,0,100,5,19,0
HUENTE5,2021-02-15,1,0,90,16,1,,0,100,5,19,0
HUENTE5,2021-08-28,3,0,20,16,2,0,1,100,5,19,0
HUENTE5,2022-02-03,2,0,70,16,1,0,0,100,5,19,0
HUENTE5,2022-07-26,2,0,0,16,7,0,1,100,5,19,0
HUENTE5,2023-02-13,3,0,0,16,2,1,0,100,5,19,5
HUENTE5,2023-07-09,3,0,70,16,2,0,0,100,5,13,0
HUENTE6,2020-02-15,2,0,0,16,1,0,0,100,5,19,0
HUENTE6,2020-08-31,0,0,80,16,1,,0,100,5,19,0
HUENTE6,2021-02-15,1,0,90,16,1,,0,100,5,19,
HUENTE6,2021-08-28,3,0,20,16,2,0,1,100,5,19,0
HUENTE6,2022-02-03,2,0,70,16,1,0,0,100,5,19,0
HUENTE6,2022-07-26,2,0,0,16,7,0,1,100,5,19,0
HUENTE6,2023-02-13,3,0,0,16,2,1,1,100,5,19,5
HUENTE6,2023-07-09,3,0,70,13,2,1,0,100,5,16,2
HUENTE7,2020-02-15,2,0,20,16,3,3,0,80,70,,30
HUENTE7,2020-08-31,1,0,100,16,1,3,0,80,80,,20
HUENTE7,2021-02-15,1,0,10,16,3,1,0,80,70,,30
HUENTE7,2021-08-28,3,0,10,16,1,3,1,80,50,,30
HUENTE7,2022-02-03,2,0,0,16,3,1,0,100,10,,30
HUENTE7,2022-07-26,2,0,0,16,8,1,1,80,60,,30
HUENTE7,2023-02-13,3,0,0,1,2,1,0,100,70,,15
HUENTE7,2023-07-09,3,0,80,1,3,1,0,80,90,,10
HUENTE8,2020-02-15,2,0,20,1,3,3,0,80,70,,30
HUENTE8,2020-08-31,0,0,100,1,1,3,0,80,70,,30
HUENTE8,2021-02-15,0,0,90,1,1,,0,80,100,,
HUENTE8,2021-08-28,4,0,10,1,1,3,1,80,50,,30
HUENTE8,2022-02-03,2,0,0,1,3,1,0,80,30,,30
HUENTE8,2022-07-26,2,0,0,1,8,1,1,80,50,,30
HUENTE8,2023-02-13,3,0,0,1,2,1,0,100,80,,15
HUENTE8,2023-07-09,3,0,80,14,3,1,0,80,90,15,10
LLANOS1,2020-08-31,1,0,10,99,1,0,,100,0,,0
LLANOS1,2021-02-15,2,0,0,99,7,,0,100,0,,0
LLANOS1,2021-08-28,1,0,0,99,9,0,1,100,0,,0
LLANOS1,2022-02-03,1,0,100,99,6,0,,100,0,,0
LLANOS1,2022-07-26,0,0,10,99,3,1,1,100,0,,80
LLANOS1,2023-02-13,3,0,95,99,6,1,1,100,0,,95
LLANOS1,2023-07-09,2,0,80,99,2,0,0,100,0,,0
LLANOS2,2020-08-31,1,0,10,99,1,0,,100,0,,0
LLANOS2,2021-02-15,2,0,0,99,7,,0,100,0,,0
LLANOS2,2021-08-28,1,0,0,99,9,0,1,100,0,,0
LLANOS2,2022-02-03,1,0,100,99,6,0,0,100,0,,0
LLANOS2,2022-07-26,0,0,10,99,3,1,1,100,0,,70
LLANOS2,2023-02-13,3,0,90,99,6,1,1,100,0,,95
LLANOS2,2023-07-09,2,0,80,99,2,0,0,100,0,,0
LLANOS3,2020-08-31,1,0,10,99,1,0,,100,0,,0
LLANOS3,2021-02-15,2,0,0,99,7,,0,100,0,,0
LLANOS3,2021-08-28,1,0,0,99,9,0,1,100,0,,0
LLANOS3,2022-02-03,1,0,100,99,6,0,0,100,0,,0
LLANOS3,2022-07-26,1,0,10,99,3,1,0,100,0,,70
LLANOS3,2023-02-13,4,0,90,99,6,1,0,100,0,,95
LLANOS3,2023-07-09,2,0,80,99,2,1,0,100,0,,70
LLANOS4,2020-08-31,1,0,10,99,1,0,,100,0,,0
LLANOS4,2021-02-15,2,0,0,99,7,,0,100,0,,0
LLANOS4,2021-08-28,1,0,0,99,9,0,1,100,0,,0
LLANOS4,2022-02-03,1,0,100,99,6,0,0,100,0,,0
LLANOS4,2022-07-26,1,0,10,99,3,1,1,100,0,,80
LLANOS4,2023-02-13,4,0,10,99,6,1,1,100,0,,95
LLANOS4,2023-07-09,2,0,80,99,2,1,1,100,0,,80
LLUTA1,2020-01-31,1,0,98,16,6,1,1,100,,3,20
LLUTA1,2021-02-03,0,0,80,1,6,5,1,90,0,16,25
LLUTA1,2022-02-15,0,0,70,1,2,5,0,100,0,16,25
LLUTA1,2022-07-09,0,0,100,1,5,5,1,100,0,16,25
LLUTA1,2023-02-14,0,0,50,1,7,5,1,100,0,16,25
LLUTA1,2023-07-03,0,0,100,1,2,5,1,100,,16,25
LLUTA2,2020-01-31,1,0,98,16,6,,1,100,15,,
LLUTA2,2021-02-03,0,0,80,1,6,5,1,90,10,16,15
LLUTA2,2022-02-15,0,0,60,1,3,5,0,90,5,16,20
LLUTA2,2022-07-09,0,0,100,1,5,5,1,90,5,16,20
LLUTA2,2023-02-14,1,0,50,1,7,5,1,100,15,16,35
LLUTA3,2020-01-31,1,0,95,16,6,1,1,100,15,,10
LLUTA3,2021-02-03,1,0,60,1,4,5,1,100,5,16,45
LLUTA3,2022-02-15,1,0,30,1,3,5,0,100,5,16,45
LLUTA3,2022-07-09,1,0,100,1,7,5,1,100,5,16,45
LLUTA3,2023-02-14,1,0,50,1,7,5,1,100,5,16,45
LLUTA3,2023-07-03,1,0,100,1,3,5,1,100,5,16,45
LLUTA4,2020-01-31,1,0,80,16,6,1,1,100,15,,35
LLUTA4,2021-02-03,2,0,40,1,4,5,,90,5,16,30
LLUTA4,2022-02-15,2,0,15,1,5,5,0,90,30,16,55
LLUTA4,2022-07-09,1,0,100,1,7,5,1,90,30,16,55
LLUTA4,2023-02-14,1,0,50,1,8,5,1,100,30,16,45
LLUTA4,2023-07-03,1,0,100,1,3,5,1,90,20,16,50
LLUTA5,2020-01-31,1,0,70,16,6,0,1,100,,,
LLUTA5,2021-02-03,1,0,40,1,1,5,,90,5,16,45
LLUTA5,2022-02-15,3,0,15,1,5,5,1,90,20,16,40
LLUTA5,2022-07-09,1,0,95,1,7,5,1,90,20,16,40
LLUTA5,2023-02-14,2,0,30,1,6,5,1,95,20,16,20
LLUTA5,2023-07-03,1,0,100,1,5,5,1,90,5,16,30
MAIPO1,2017-02-11,2,0,10,16,1,1,1,100,0,,0
MAIPO1,2018-02-11,2,0,40,16,4,1,0,100,0,1,5
MAIPO1,2019-02-04,2,0,80,17,1,,,0,,16,
MAIPO1,2020-01-20,1,0,100,17,1,1,1,100,50,16,15
MAIPO1,2021-01-28,1,0,10,17,1,0,0,100,,,
MAIPO1,2021-07-06,4,0,80,17,3,,0,0,,,
