Sampling.Unit.Name,Latitude,Longitude,SiteName,Ha,Sitio
MAIPO10,-33.616449,-71.630613,SN Humedal río Maipo – Desembocadura,1.78,12
MAIPO11,-33.618084,-71.631124,SN Humedal río Maipo – Desembocadura,1.87,12
MAIPO12,-33.619747,-71.631544,SN Humedal río Maipo – Desembocadura,1.65,12
MAIPO13,-33.621414,-71.631858,SN Humedal río Maipo – Desembocadura,2.01,12
MAIPO14,-33.620936,-71.628032,SN Humedal río Maipo – Desembocadura,4.52,12
MAIPO15,-33.617487,-71.627127,SN Humedal río Maipo – Desembocadura,2.73,12
MAIPO2,-33.626378,-71.632592,SN Humedal río Maipo – Desembocadura,0.80,12
MAIPO3,-33.624036,-71.632017,SN Humedal río Maipo – Desembocadura,2.95,12
MAIPO4,-33.621463,-71.630577,SN Humedal río Maipo – Desembocadura,2.97,12
MAIPO5,-33.619794,-71.630302,SN Humedal río Maipo – Desembocadura,2.42,12
MAIPO6,-33.618165,-71.629852,SN Humedal río Maipo – Desembocadura,2.78,12
MAIPO7,-33.616539,-71.629421,SN Humedal río Maipo – Desembocadura,2.52,12
MAIPO8,-33.614738,-71.628589,SN Humedal río Maipo – Desembocadura,3.17,12
MAIPO9,-33.614766,-71.629923,SN Humedal río Maipo – Desembocadura,1.96,12
