"Sampling.Unit.Name","Start.Time","End.Time","Spp","Common.Name","Scientific.Name","Count","Date","Latitude","Longitude","SiteName","Ha","Sitio","Wind","Precipitation","PercentCloudCover","DominantCoverType","TidalConditions","VegetationHeight","DisturbGeneral.Collected","VisibleArea.VisibleArea","PercentCover.PercentFlood","CoverType.SecondaryCoverType","PercentCover.PercentVegetated"
"CHA1","13:08:00","13:13:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-07-12,-41.491357,-72.863779,"Coihuín y Chamiza",7.64,2,2,0,40,14,2,1,NA,100,30,NA,50
"CHA1","13:13:00","13:17:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-30,-41.491357,-72.863779,"Coihuín y Chamiza",7.64,2,0,0,90,14,2,1,1,100,50,15,40
"CHA1","14:36:00","14:41:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-41.491357,-72.863779,"Coihuín y Chamiza",7.64,2,3,3,100,14,1,1,1,NA,80,15,5
"CHA4","14:55:00","15:13:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-05-25,-41.496096,-72.859867,"Coihuín y Chamiza",6.8,2,0,0,0,14,2,1,1,100,60,NA,20
"CHA4","09:58:00","10:10:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-15,-41.496096,-72.859867,"Coihuín y Chamiza",6.8,2,3,0,90,14,2,2,0,100,10,NA,80
"CHA4","14:52:00","15:05:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2020-06-24,-41.496096,-72.859867,"Coihuín y Chamiza",6.8,2,1,0,20,14,2,1,1,100,70,NA,20
"CHA4","13:34:00","13:38:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-07-12,-41.496096,-72.859867,"Coihuín y Chamiza",6.8,2,2,0,40,14,2,1,NA,100,40,NA,30
"CHA4","12:52:00","12:55:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-30,-41.496096,-72.859867,"Coihuín y Chamiza",6.8,2,0,0,90,14,2,1,1,100,30,15,50
"CHA4","14:53:00","14:54:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-41.496096,-72.859867,"Coihuín y Chamiza",6.8,2,3,3,100,14,1,0,0,100,95,15,NA
"CHA5","15:17:00","15:22:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-05-25,-41.497688,-72.858549,"Coihuín y Chamiza",7.11,2,0,0,0,14,1,1,1,100,40,NA,20
"CHA5","10:16:00","10:33:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2020-06-15,-41.497688,-72.858549,"Coihuín y Chamiza",7.11,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"CHA5","15:14:00","15:28:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-24,-41.497688,-72.858549,"Coihuín y Chamiza",7.11,2,1,0,30,14,2,1,1,100,80,NA,10
"CHA5","13:41:00","13:50:00","AMOY","American Oystercatcher","Haematopus palliatus",392,2021-07-12,-41.497688,-72.858549,"Coihuín y Chamiza",7.11,2,2,0,40,14,2,1,NA,100,60,NA,30
"CHA5","12:36:00","12:46:00","AMOY","American Oystercatcher","Haematopus palliatus",811,2022-06-30,-41.497688,-72.858549,"Coihuín y Chamiza",7.11,2,0,0,90,14,2,1,0,100,20,15,50
"CHA5","14:25:00","14:30:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-41.497688,-72.858549,"Coihuín y Chamiza",7.11,2,2,1,90,14,2,1,0,100,60,15,30
"CHA7","15:39:00","15:52:00","AMOY","American Oystercatcher","Haematopus palliatus",198,2020-05-25,-41.501175,-72.855748,"Coihuín y Chamiza",8.08,2,0,0,0,14,1,1,0,90,20,NA,30
"CHA7","10:51:00","10:59:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-15,-41.501175,-72.855748,"Coihuín y Chamiza",8.08,2,3,0,80,14,1,2,0,80,20,NA,50
"CHA7","15:49:00","15:56:00","AMOY","American Oystercatcher","Haematopus palliatus",12,2020-06-24,-41.501175,-72.855748,"Coihuín y Chamiza",8.08,2,1,0,30,14,1,1,0,90,60,NA,20
"CHA7","13:57:00","13:59:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-07-12,-41.501175,-72.855748,"Coihuín y Chamiza",8.08,2,0,2,30,14,2,0,NA,100,80,NA,20
"CHA7","12:15:00","12:18:00","AMOY","American Oystercatcher","Haematopus palliatus",3,2022-06-30,-41.501175,-72.855748,"Coihuín y Chamiza",8.08,2,1,0,80,14,2,1,0,100,20,15,50
"CHA7","13:46:00","13:51:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-41.501175,-72.855748,"Coihuín y Chamiza",8.08,2,1,0,70,14,2,1,NA,80,25,15,45
"CHA8","15:54:00","16:03:00","AMOY","American Oystercatcher","Haematopus palliatus",116,2020-05-25,-41.50329,-72.854268,"Coihuín y Chamiza",9.01,2,0,0,0,14,1,2,1,100,30,NA,50
"CHA8","11:03:00","11:10:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-15,-41.50329,-72.854268,"Coihuín y Chamiza",9.01,2,3,0,80,14,1,2,0,90,20,NA,60
"CHA8","15:58:00","16:05:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-24,-41.50329,-72.854268,"Coihuín y Chamiza",9.01,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHA8","14:05:00","14:09:00","AMOY","American Oystercatcher","Haematopus palliatus",14,2021-07-12,-41.50329,-72.854268,"Coihuín y Chamiza",9.01,2,2,0,30,14,2,1,NA,100,80,NA,20
"CHA8","11:51:00","11:59:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-30,-41.50329,-72.854268,"Coihuín y Chamiza",9.01,2,1,0,70,14,4,1,1,100,10,16,40
"CHA8","13:36:00","13:41:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-41.50329,-72.854268,"Coihuín y Chamiza",9.01,2,2,0,70,14,2,1,1,80,35,15,50
"CHA9","16:07:00","16:20:00","AMOY","American Oystercatcher","Haematopus palliatus",49,2020-05-25,-41.50445,-72.851696,"Coihuín y Chamiza",9.48,2,0,0,0,14,1,2,1,100,60,NA,30
"CHA9","11:12:00","11:20:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-06-15,-41.50445,-72.851696,"Coihuín y Chamiza",9.48,2,3,0,70,14,1,2,1,90,40,NA,40
"CHA9","16:09:00","16:22:00","AMOY","American Oystercatcher","Haematopus palliatus",138,2020-06-24,-41.50445,-72.851696,"Coihuín y Chamiza",9.48,2,1,0,20,14,1,2,0,100,70,NA,20
"CHA9","14:10:00","14:15:00","AMOY","American Oystercatcher","Haematopus palliatus",5,2021-07-12,-41.50445,-72.851696,"Coihuín y Chamiza",9.48,2,2,0,20,14,2,1,NA,100,70,NA,20
"CHA9","11:26:00","11:35:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-30,-41.50445,-72.851696,"Coihuín y Chamiza",9.48,2,1,0,60,14,4,1,1,100,20,15,60
"CHA9","13:19:00","13:25:00","AMOY","American Oystercatcher","Haematopus palliatus",9,2023-07-06,-41.50445,-72.851696,"Coihuín y Chamiza",9.48,2,2,0,60,14,2,2,0,70,15,15,40
"COQ14","07:49:00","08:27:00","AMOY","American Oystercatcher","Haematopus palliatus",13,2022-07-09,-29.900063,-71.273762,"Bahía de Coquimbo - río Elqui - Desembocadura",6.12,1,4,0,100,16,3,1,1,100,30,NA,5
"COQ14","11:17:00","11:32:00","AMOY","American Oystercatcher","Haematopus palliatus",10,2023-07-13,-29.900063,-71.273762,"Bahía de Coquimbo - río Elqui - Desembocadura",6.12,1,0,0,0,16,1,NA,1,100,NA,NA,NA
"COQ17","09:44:00","10:01:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2022-07-09,-29.8932,-71.27156,"Bahía de Coquimbo - río Elqui - Desembocadura",3.44,1,4,0,80,1,7,4,1,100,90,NA,10
"COQ17","11:12:00","11:13:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-13,-29.8932,-71.27156,"Bahía de Coquimbo - río Elqui - Desembocadura",3.44,1,0,0,0,1,1,4,1,5,90,NA,5
"COQ18","10:04:00","10:19:00","AMOY","American Oystercatcher","Haematopus palliatus",11,2022-07-09,-29.894617,-71.273527,"Bahía de Coquimbo - río Elqui - Desembocadura",1.97,1,4,0,70,16,7,0,1,100,0,NA,0
"COQ18","11:02:00","11:09:00","AMOY","American Oystercatcher","Haematopus palliatus",22,2023-07-13,-29.894617,-71.273527,"Bahía de Coquimbo - río Elqui - Desembocadura",1.97,1,0,0,0,16,1,NA,1,100,NA,NA,NA
"COQ19","10:54:00","11:12:00","AMOY","American Oystercatcher","Haematopus palliatus",8,2022-07-09,-29.88879,-71.273383,"Bahía de Coquimbo - río Elqui - Desembocadura",10.04,1,4,0,80,16,7,1,1,100,0,NA,10
"COQ19","10:38:00","10:56:00","AMOY","American Oystercatcher","Haematopus palliatus",71,2023-07-13,-29.88879,-71.273383,"Bahía de Coquimbo - río Elqui - Desembocadura",10.04,1,0,0,0,16,1,NA,1,100,NA,NA,NA
"COQ21","11:24:00","11:37:00","AMOY","American Oystercatcher","Haematopus palliatus",12,2022-07-09,-29.879741,-71.27386,"Bahía de Coquimbo - río Elqui - Desembocadura",11.37,1,6,0,90,16,7,1,1,100,0,NA,10
"COQ21","10:29:00","10:37:00","AMOY","American Oystercatcher","Haematopus palliatus",1,2023-07-13,-29.879741,-71.27386,"Bahía de Coquimbo - río Elqui - Desembocadura",11.37,1,0,0,0,16,1,1,1,100,NA,NA,5
"COQ22","11:38:00","11:48:00","AMOY","American Oystercatcher","Haematopus palliatus",10,2022-07-09,-29.870696,-71.274807,"Bahía de Coquimbo - río Elqui - Desembocadura",10.84,1,6,0,40,16,7,1,1,100,0,NA,10
"COQ22","10:08:00","10:23:00","AMOY","American Oystercatcher","Haematopus palliatus",16,2023-07-13,-29.870696,-71.274807,"Bahía de Coquimbo - río Elqui - Desembocadura",10.84,1,0,0,0,16,1,NA,1,100,NA,NA,NA
"COQ25","10:05:00","10:23:00","AMOY","American Oystercatcher","Haematopus palliatus",46,2022-07-09,-29.861552,-71.276106,"Bahía de Coquimbo - río Elqui - Desembocadura",11.43,1,4,0,80,16,7,1,1,100,10,NA,10
"COQ25","09:41:00","10:07:00","AMOY","American Oystercatcher","Haematopus palliatus",39,2023-07-13,-29.861552,-71.276106,"Bahía de Coquimbo - río Elqui - Desembocadura",11.43,1,0,0,0,16,1,2,1,100,NA,NA,10
"COQ26","09:33:00","10:03:00","AMOY","American Oystercatcher","Haematopus palliatus",276,2022-07-09,-29.852536,-71.277323,"Bahía de Coquimbo - río Elqui - Desembocadura",14.31,1,4,0,80,16,7,1,1,100,10,NA,10
"COQ26","09:01:00","09:37:00","AMOY","American Oystercatcher","Haematopus palliatus",156,2023-07-13,-29.852536,-71.277323,"Bahía de Coquimbo - río Elqui - Desembocadura",14.31,1,0,0,0,16,1,NA,1,100,NA,NA,NA
"COQ27","09:10:00","09:32:00","AMOY","American Oystercatcher","Haematopus palliatus",108,2022-07-09,-29.843966,-71.279002,"Bahía de Coquimbo - río Elqui - Desembocadura",16.71,1,3,0,100,16,7,1,1,100,10,NA,10
"COQ27","08:38:00","08:59:00","AMOY","American Oystercatcher","Haematopus palliatus",112,2023-07-13,-29.843966,-71.279002,"Bahía de Coquimbo - río Elqui - Desembocadura",16.71,1,1,0,0,16,1,NA,1,100,NA,NA,NA
"COQ28","08:49:00","09:08:00","AMOY","American Oystercatcher","Haematopus palliatus",61,2022-07-09,-29.83511,-71.280964,"Bahía de Coquimbo - río Elqui - Desembocadura",21.45,1,2,0,85,16,7,1,1,100,20,NA,10
"COQ28","08:10:00","08:36:00","AMOY","American Oystercatcher","Haematopus palliatus",112,2023-07-13,-29.83511,-71.280964,"Bahía de Coquimbo - río Elqui - Desembocadura",21.45,1,1,0,0,16,1,NA,1,100,NA,NA,NA
"COQ29","08:27:00","08:47:00","AMOY","American Oystercatcher","Haematopus palliatus",42,2022-07-09,-29.826664,-71.286013,"Bahía de Coquimbo - río Elqui - Desembocadura",13.99,1,2,0,80,16,7,1,1,100,20,NA,10
"COQ29","07:48:00","08:06:00","AMOY","American Oystercatcher","Haematopus palliatus",81,2023-07-13,-29.826664,-71.286013,"Bahía de Coquimbo - río Elqui - Desembocadura",13.99,1,1,0,0,16,1,NA,1,100,NA,NA,NA
"COQ32","08:11:00","08:21:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-07-09,-29.821912,-71.288635,"Bahía de Coquimbo - río Elqui - Desembocadura",1.99,1,1,0,80,1,7,3,1,50,35,NA,65
"COQ32","07:47:00","07:48:00","AMOY","American Oystercatcher","Haematopus palliatus",12,2023-07-13,-29.821912,-71.288635,"Bahía de Coquimbo - río Elqui - Desembocadura",1.99,1,1,0,0,1,1,NA,1,10,90,NA,NA
"HT1","16:17:00","16:25:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2022-07-22,NA,NA,NA,NA,NA,1,1,80,14,2,0,1,100,60,NA,0
"HT1","17:14:00","17:25:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-11,NA,NA,NA,NA,NA,0,0,70,14,2,1,0,100,35,NA,15
"HT2","16:01:00","16:12:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2022-07-22,-41.715529,-73.153404,"Humedales de Calbuco - Huito",3.54,6,1,1,80,14,2,0,0,100,50,NA,0
"HT2","17:01:00","17:11:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-11,-41.715529,-73.153404,"Humedales de Calbuco - Huito",3.54,6,0,0,70,14,2,1,0,100,30,17,20
"HT3","15:43:00","15:57:00","AMOY","American Oystercatcher","Haematopus palliatus",3,2022-07-22,-41.713402,-73.152487,"Humedales de Calbuco - Huito",3.55,6,0,1,80,14,2,0,1,100,40,NA,0
"HT3","16:48:00","16:59:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-11,-41.713402,-73.152487,"Humedales de Calbuco - Huito",3.55,6,0,0,70,14,2,1,0,90,30,17,20
"HUENTE1","10:51:00","11:03:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2020-08-31,-31.624883,-71.557245,"Huentelauquén",3.03,3,0,0,100,13,1,1,0,100,50,16,2
"HUENTE1","13:31:00","13:58:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2021-08-28,-31.624883,-71.557245,"Huentelauquén",3.03,3,4,0,10,13,1,1,1,100,50,16,2
"HUENTE1","13:34:00","13:44:00","AMOY","American Oystercatcher","Haematopus palliatus",7,2022-07-26,-31.624883,-71.557245,"Huentelauquén",3.03,3,2,0,0,13,7,1,1,100,5,16,2
"HUENTE1","14:52:00","15:12:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2023-07-09,-31.624883,-71.557245,"Huentelauquén",3.03,3,3,0,70,16,1,0,0,100,5,19,0
"HUENTE2","11:05:00","11:13:00","AMOY","American Oystercatcher","Haematopus palliatus",5,2020-08-31,-31.622319,-71.558399,"Huentelauquén",3.16,3,0,0,100,16,1,0,0,100,50,13,0
"HUENTE2","12:58:00","13:25:00","AMOY","American Oystercatcher","Haematopus palliatus",10,2021-08-28,-31.622319,-71.558399,"Huentelauquén",3.16,3,4,0,10,16,1,0,1,100,50,13,0
"HUENTE2","12:59:00","13:31:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2022-07-26,-31.622319,-71.558399,"Huentelauquén",3.16,3,2,0,0,16,7,0,1,100,5,13,0
"HUENTE2","14:18:00","14:42:00","AMOY","American Oystercatcher","Haematopus palliatus",89,2023-07-09,-31.622319,-71.558399,"Huentelauquén",3.16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUENTE3","11:15:00","11:32:00","AMOY","American Oystercatcher","Haematopus palliatus",11,2020-08-31,-31.619121,-71.561244,"Huentelauquén",6.83,3,0,0,100,16,1,1,0,100,20,19,10
"HUENTE3","12:45:00","12:55:00","AMOY","American Oystercatcher","Haematopus palliatus",1,2021-08-28,-31.619121,-71.561244,"Huentelauquén",6.83,3,4,0,20,16,2,1,1,100,20,19,10
"HUENTE3","12:33:00","12:56:00","AMOY","American Oystercatcher","Haematopus palliatus",9,2022-07-26,-31.619121,-71.561244,"Huentelauquén",6.83,3,2,0,0,16,7,1,1,100,10,19,10
"HUENTE3","13:49:00","14:12:00","AMOY","American Oystercatcher","Haematopus palliatus",7,2023-07-09,-31.619121,-71.561244,"Huentelauquén",6.83,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUENTE4","11:35:00","11:45:00","AMOY","American Oystercatcher","Haematopus palliatus",8,2020-08-31,-31.61626,-71.562541,"Huentelauquén",10.43,3,0,0,90,16,1,NA,0,100,20,19,0
"HUENTE4","12:23:00","12:33:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2021-08-28,-31.61626,-71.562541,"Huentelauquén",10.43,3,3,0,20,16,2,0,1,100,20,19,0
"HUENTE4","12:14:00","12:30:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2022-07-26,-31.61626,-71.562541,"Huentelauquén",10.43,3,2,0,0,16,7,0,1,100,10,19,0
"HUENTE4","13:08:00","13:46:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2023-07-09,-31.61626,-71.562541,"Huentelauquén",10.43,3,3,0,70,16,2,0,0,100,10,19,0
"HUENTE5","11:47:00","12:00:00","AMOY","American Oystercatcher","Haematopus palliatus",4,2020-08-31,-31.613084,-71.565049,"Huentelauquén",21.25,3,0,0,90,16,1,NA,0,100,5,19,0
"HUENTE5","12:13:00","12:18:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2021-08-28,-31.613084,-71.565049,"Huentelauquén",21.25,3,3,0,20,16,2,0,1,100,5,19,0
"HUENTE5","12:02:00","12:10:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2022-07-26,-31.613084,-71.565049,"Huentelauquén",21.25,3,2,0,0,16,7,0,1,100,5,19,0
"HUENTE5","12:57:00","13:07:00","AMOY","American Oystercatcher","Haematopus palliatus",1,2023-07-09,-31.613084,-71.565049,"Huentelauquén",21.25,3,3,0,70,16,2,0,0,100,5,13,0
"HUENTE6","12:02:00","12:15:00","AMOY","American Oystercatcher","Haematopus palliatus",7,2020-08-31,-31.6093,-71.570516,"Huentelauquén",17.89,3,0,0,80,16,1,NA,0,100,5,19,0
"HUENTE6","12:02:00","12:05:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2021-08-28,-31.6093,-71.570516,"Huentelauquén",17.89,3,3,0,20,16,2,0,1,100,5,19,0
"HUENTE6","11:50:00","11:58:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2022-07-26,-31.6093,-71.570516,"Huentelauquén",17.89,3,2,0,0,16,7,0,1,100,5,19,0
"HUENTE6","12:42:00","12:57:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2023-07-09,-31.6093,-71.570516,"Huentelauquén",17.89,3,3,0,70,13,2,1,0,100,5,16,2
"LLUTA1","08:03:00","08:20:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2022-07-09,-18.418425,-70.321363,"Río Lluta - Desembocadura",1.9,10,0,0,100,1,5,5,1,100,0,16,25
"LLUTA1","08:35:00","08:49:00","AMOY","American Oystercatcher","Haematopus palliatus",10,2023-07-03,-18.418425,-70.321363,"Río Lluta - Desembocadura",1.9,10,0,0,100,1,2,5,1,100,NA,16,25
"LLUTA2","08:28:00","08:50:00","AMOY","American Oystercatcher","Haematopus palliatus",3,2022-07-09,-18.41661,-70.322793,"Río Lluta - Desembocadura",2.24,10,0,0,100,1,5,5,1,90,5,16,20
"LLUTA2","08:50:00","09:24:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2023-07-03,-18.41661,-70.322793,"Río Lluta - Desembocadura",2.24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLUTA3","09:18:00","09:40:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-07-09,-18.415116,-70.324111,"Río Lluta - Desembocadura",1.78,10,1,0,100,1,7,5,1,100,5,16,45
"LLUTA3","09:26:00","10:05:00","AMOY","American Oystercatcher","Haematopus palliatus",50,2023-07-03,-18.415116,-70.324111,"Río Lluta - Desembocadura",1.78,10,1,0,100,1,3,5,1,100,5,16,45
"LLUTA5","10:42:00","11:02:00","AMOY","American Oystercatcher","Haematopus palliatus",44,2022-07-09,-18.41296,-70.325797,"Río Lluta - Desembocadura",1.67,10,1,0,95,1,7,5,1,90,20,16,40
"LLUTA5","10:25:00","10:45:00","AMOY","American Oystercatcher","Haematopus palliatus",15,2023-07-03,-18.41296,-70.325797,"Río Lluta - Desembocadura",1.67,10,1,0,100,1,5,5,1,90,5,16,30
"MAIPO11","11:27:00","11:34:00","AMOY","American Oystercatcher","Haematopus palliatus",16,2021-07-06,-33.618084,-71.631124,"SN Humedal río Maipo – Desembocadura",1.87,12,2,0,40,16,3,1,1,100,NA,15,15
"MAIPO11","11:58:00","12:02:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-17,-33.618084,-71.631124,"SN Humedal río Maipo – Desembocadura",1.87,12,3,0,0,15,1,NA,0,100,90,16,NA
"MAIPO11","08:00:00","08:02:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-33.618084,-71.631124,"SN Humedal río Maipo – Desembocadura",1.87,12,0,0,NA,NA,3,NA,NA,0,100,NA,NA
"MAIPO13","11:48:00","11:59:00","AMOY","American Oystercatcher","Haematopus palliatus",12,2021-07-06,-33.621414,-71.631858,"SN Humedal río Maipo – Desembocadura",2.01,12,2,0,40,16,3,0,1,100,NA,15,NA
"MAIPO13","11:40:00","11:43:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-17,-33.621414,-71.631858,"SN Humedal río Maipo – Desembocadura",2.01,12,3,0,0,15,2,NA,1,100,80,16,NA
"MAIPO13","08:00:00","08:02:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-33.621414,-71.631858,"SN Humedal río Maipo – Desembocadura",2.01,12,0,0,NA,NA,3,NA,NA,0,100,NA,NA
"MAIPO14","13:33:00","13:40:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-17,-33.620936,-71.628032,"SN Humedal río Maipo – Desembocadura",4.52,12,2,0,0,1,3,NA,0,90,60,NA,30
"MAIPO14","08:16:00","08:45:00","AMOY","American Oystercatcher","Haematopus palliatus",203,2023-07-06,-33.620936,-71.628032,"SN Humedal río Maipo – Desembocadura",4.52,12,0,0,NA,14,3,1,1,100,70,15,5
"MAIPO15","13:07:00","13:10:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2022-06-17,-33.617487,-71.627127,"SN Humedal río Maipo – Desembocadura",2.73,12,1,0,0,15,3,2,0,100,50,16,20
"MAIPO15","08:39:00","08:58:00","AMOY","American Oystercatcher","Haematopus palliatus",6,2023-07-06,-33.617487,-71.627127,"SN Humedal río Maipo – Desembocadura",2.73,12,0,0,NA,15,4,1,1,65,80,19,5
"MAIPO5","09:51:00","09:54:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-07-06,-33.619794,-71.630302,"SN Humedal río Maipo – Desembocadura",2.42,12,5,0,65,16,3,1,1,100,NA,NA,20
"MAIPO5","13:22:00","13:30:00","AMOY","American Oystercatcher","Haematopus palliatus",62,2022-06-17,-33.619794,-71.630302,"SN Humedal río Maipo – Desembocadura",2.42,12,3,0,0,15,3,2,0,85,20,16,20
"MAIPO5","09:12:00","09:20:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-33.619794,-71.630302,"SN Humedal río Maipo – Desembocadura",2.42,12,0,0,NA,16,3,NA,1,100,45,19,NA
"MAIPO6","09:55:00","10:05:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2021-07-06,-33.618165,-71.629852,"SN Humedal río Maipo – Desembocadura",2.78,12,3,0,50,16,3,0,1,100,NA,NA,NA
"MAIPO6","13:14:00","13:20:00","AMOY","American Oystercatcher","Haematopus palliatus",2,2022-06-17,-33.618165,-71.629852,"SN Humedal río Maipo – Desembocadura",2.78,12,2,0,0,15,3,2,0,90,30,16,10
"MAIPO6","08:00:00","08:02:00","AMOY","American Oystercatcher","Haematopus palliatus",0,2023-07-06,-33.618165,-71.629852,"SN Humedal río Maipo – Desembocadura",2.78,12,0,0,NA,NA,3,NA,NA,0,100,NA,NA
